***** Best Result Updated at Epoch 1, Val Loss: 0.9634 *****
Epoch [1/10], Time: 29.66s, train Loss: 1.1732, train Acc: 0.4221, Train F1 Macro: 0.3513, Train F1 Micro: 0.4221, Val Loss: 0.9634, Val Acc: 0.6820, Val F1 Macro: 0.5237, Val F1 Micro: 0.6820
***** Best Result Updated at Epoch 2, Val Loss: 0.7612 *****
Epoch [2/10], Time: 29.78s, train Loss: 0.9496, train Acc: 0.6120, Train F1 Macro: 0.5118, Train F1 Micro: 0.6120, Val Loss: 0.7612, Val Acc: 0.7036, Val F1 Macro: 0.6288, Val F1 Micro: 0.7036
***** Best Result Updated at Epoch 3, Val Loss: 0.6361 *****
Epoch [3/10], Time: 29.01s, train Loss: 0.7713, train Acc: 0.7004, Train F1 Macro: 0.6198, Train F1 Micro: 0.7004, Val Loss: 0.6361, Val Acc: 0.7134, Val F1 Macro: 0.6604, Val F1 Micro: 0.7134
Epoch [4/10], Time: 29.87s, train Loss: 0.6737, train Acc: 0.7342, Train F1 Macro: 0.6700, Train F1 Micro: 0.7342, Val Loss: 0.6461, Val Acc: 0.7203, Val F1 Macro: 0.6660, Val F1 Micro: 0.7203
Epoch [5/10], Time: 28.99s, train Loss: 0.5931, train Acc: 0.7604, Train F1 Macro: 0.7045, Train F1 Micro: 0.7604, Val Loss: 0.6436, Val Acc: 0.7311, Val F1 Macro: 0.6684, Val F1 Micro: 0.7311
Epoch [6/10], Time: 29.67s, train Loss: 0.5152, train Acc: 0.7912, Train F1 Macro: 0.7436, Train F1 Micro: 0.7912, Val Loss: 0.6796, Val Acc: 0.7321, Val F1 Macro: 0.6701, Val F1 Micro: 0.7321
Epoch [7/10], Time: 28.28s, train Loss: 0.4560, train Acc: 0.8075, Train F1 Macro: 0.7637, Train F1 Micro: 0.8075, Val Loss: 0.7350, Val Acc: 0.7321, Val F1 Macro: 0.6691, Val F1 Micro: 0.7321
Epoch [8/10], Time: 30.63s, train Loss: 0.3962, train Acc: 0.8302, Train F1 Macro: 0.7944, Train F1 Micro: 0.8302, Val Loss: 0.8448, Val Acc: 0.7566, Val F1 Macro: 0.6892, Val F1 Micro: 0.7566
Epoch [9/10], Time: 29.28s, train Loss: 0.3463, train Acc: 0.8496, Train F1 Macro: 0.8172, Train F1 Micro: 0.8496, Val Loss: 0.9530, Val Acc: 0.7390, Val F1 Macro: 0.6689, Val F1 Micro: 0.7390
Epoch [10/10], Time: 28.28s, train Loss: 0.3074, train Acc: 0.8562, Train F1 Macro: 0.8252, Train F1 Micro: 0.8562, Val Loss: 1.0212, Val Acc: 0.7625, Val F1 Macro: 0.6852, Val F1 Micro: 0.7625
Test Loss: 1.0729, Test Acc: 0.7723, Test F1 Macro: 0.6837, Test F1 Micro: 0.7723
