***** Best Result Updated at Epoch 1, Val Loss: 0.4144 *****
Epoch [1/10], Time: 0.39s, train Loss: 0.4535, train Acc: 0.7013, Train F1 Average: 0.6138, Train F1 Macro: 0.3660, Train F1 Micro: 0.7013, Val Loss: 0.4144, Val Acc: 0.7134, Val F1 Macro: 0.4069, Val F1 Micro: 0.7134, Val F1 Average: 0.6345
***** Best Result Updated at Epoch 2, Val Loss: 0.3993 *****
Epoch [2/10], Time: 0.33s, train Loss: 0.4167, train Acc: 0.7206, Train F1 Average: 0.6422, Train F1 Macro: 0.4180, Train F1 Micro: 0.7109, Val Loss: 0.3993, Val Acc: 0.7233, Val F1 Macro: 0.4290, Val F1 Micro: 0.7184, Val F1 Average: 0.6460
***** Best Result Updated at Epoch 3, Val Loss: 0.3911 *****
Epoch [3/10], Time: 0.41s, train Loss: 0.3971, train Acc: 0.7395, Train F1 Average: 0.6618, Train F1 Macro: 0.4538, Train F1 Micro: 0.7204, Val Loss: 0.3911, Val Acc: 0.7321, Val F1 Macro: 0.4515, Val F1 Micro: 0.7229, Val F1 Average: 0.6584
Epoch [4/10], Time: 0.39s, train Loss: 0.3795, train Acc: 0.7483, Train F1 Average: 0.6751, Train F1 Macro: 0.4776, Train F1 Micro: 0.7274, Val Loss: 0.3989, Val Acc: 0.7262, Val F1 Macro: 0.4703, Val F1 Micro: 0.7237, Val F1 Average: 0.6678
***** Best Result Updated at Epoch 5, Val Loss: 0.3891 *****
Epoch [5/10], Time: 0.39s, train Loss: 0.3612, train Acc: 0.7659, Train F1 Average: 0.6887, Train F1 Macro: 0.5015, Train F1 Micro: 0.7351, Val Loss: 0.3891, Val Acc: 0.7272, Val F1 Macro: 0.4749, Val F1 Micro: 0.7244, Val F1 Average: 0.6701
Epoch [6/10], Time: 0.39s, train Loss: 0.3466, train Acc: 0.7723, Train F1 Average: 0.6992, Train F1 Macro: 0.5202, Train F1 Micro: 0.7413, Val Loss: 0.3938, Val Acc: 0.7301, Val F1 Macro: 0.4778, Val F1 Micro: 0.7254, Val F1 Average: 0.6715
Epoch [7/10], Time: 0.40s, train Loss: 0.3244, train Acc: 0.7891, Train F1 Average: 0.7100, Train F1 Macro: 0.5389, Train F1 Micro: 0.7481, Val Loss: 0.3967, Val Acc: 0.7360, Val F1 Macro: 0.4880, Val F1 Micro: 0.7269, Val F1 Average: 0.6770
Epoch [8/10], Time: 0.38s, train Loss: 0.2959, train Acc: 0.8101, Train F1 Average: 0.7217, Train F1 Macro: 0.5593, Train F1 Micro: 0.7559, Val Loss: 0.4140, Val Acc: 0.7341, Val F1 Macro: 0.4955, Val F1 Micro: 0.7278, Val F1 Average: 0.6807
Epoch [9/10], Time: 0.39s, train Loss: 0.2645, train Acc: 0.8356, Train F1 Average: 0.7343, Train F1 Macro: 0.5810, Train F1 Micro: 0.7647, Val Loss: 0.4122, Val Acc: 0.7409, Val F1 Macro: 0.5061, Val F1 Micro: 0.7293, Val F1 Average: 0.6859
Epoch [10/10], Time: 0.39s, train Loss: 0.2397, train Acc: 0.8518, Train F1 Average: 0.7464, Train F1 Macro: 0.6015, Train F1 Micro: 0.7735, Val Loss: 0.4355, Val Acc: 0.7311, Val F1 Macro: 0.5146, Val F1 Micro: 0.7294, Val F1 Average: 0.6896
Test Loss: 0.3511, Test Acc: 0.7713, Test F1 Macro: 0.5294, Test F1 Micro: 0.7713
