***** Best Result Updated at Epoch 1, Val Loss: 0.4952 *****
Epoch [1/10], Time: 0.02s, train Loss: 0.5081, train Acc: 0.6820,Train F1 Macro: 0.2834, Train F1 Micro: 0.6820, Val Loss: 0.4952, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
***** Best Result Updated at Epoch 2, Val Loss: 0.4929 *****
Epoch [2/10], Time: 0.01s, train Loss: 0.4922, train Acc: 0.6917,Train F1 Macro: 0.2784, Train F1 Micro: 0.6869, Val Loss: 0.4929, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Epoch [3/10], Time: 0.03s, train Loss: 0.4892, train Acc: 0.6917,Train F1 Macro: 0.2765, Train F1 Micro: 0.6885, Val Loss: 0.4946, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
***** Best Result Updated at Epoch 4, Val Loss: 0.4916 *****
Epoch [4/10], Time: 0.01s, train Loss: 0.4889, train Acc: 0.6917,Train F1 Macro: 0.2756, Train F1 Micro: 0.6893, Val Loss: 0.4916, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Epoch [5/10], Time: 0.05s, train Loss: 0.4892, train Acc: 0.6917,Train F1 Macro: 0.2750, Train F1 Micro: 0.6898, Val Loss: 0.4930, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Epoch [6/10], Time: 0.07s, train Loss: 0.4893, train Acc: 0.6917,Train F1 Macro: 0.2746, Train F1 Micro: 0.6901, Val Loss: 0.4929, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Epoch [7/10], Time: 0.01s, train Loss: 0.4900, train Acc: 0.6917,Train F1 Macro: 0.2743, Train F1 Micro: 0.6903, Val Loss: 0.4924, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
***** Best Result Updated at Epoch 8, Val Loss: 0.4912 *****
Epoch [8/10], Time: 0.02s, train Loss: 0.4885, train Acc: 0.6917,Train F1 Macro: 0.2741, Train F1 Micro: 0.6905, Val Loss: 0.4912, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Epoch [9/10], Time: 0.03s, train Loss: 0.4891, train Acc: 0.6917,Train F1 Macro: 0.2740, Train F1 Micro: 0.6907, Val Loss: 0.4917, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Epoch [10/10], Time: 0.02s, train Loss: 0.4882, train Acc: 0.6917,Train F1 Macro: 0.2738, Train F1 Micro: 0.6908, Val Loss: 0.4920, Val Acc: 0.6869, Val F1 Macro: 0.2715, Val F1 Micro: 0.6869
Test Loss: 0.4668, Test Acc: 0.7164, Test F1 Macro: 0.2783, Test F1 Micro: 0.7164
