***** Best Result Updated at Epoch 1, Val Loss: 0.4078 *****
Epoch [1/10], Time: 0.39s, train Loss: 0.4673, train Acc: 0.6941,Train F1 Macro: 0.3560, Train F1 Micro: 0.6941, Val Loss: 0.4078, Val Acc: 0.7252, Val F1 Macro: 0.4758, Val F1 Micro: 0.7252
***** Best Result Updated at Epoch 2, Val Loss: 0.4015 *****
Epoch [2/10], Time: 0.36s, train Loss: 0.4055, train Acc: 0.7318,Train F1 Macro: 0.4434, Train F1 Micro: 0.7130, Val Loss: 0.4015, Val Acc: 0.7291, Val F1 Macro: 0.4899, Val F1 Micro: 0.7272
***** Best Result Updated at Epoch 3, Val Loss: 0.3896 *****
Epoch [3/10], Time: 0.42s, train Loss: 0.3898, train Acc: 0.7455,Train F1 Macro: 0.4802, Train F1 Micro: 0.7238, Val Loss: 0.3896, Val Acc: 0.7390, Val F1 Macro: 0.4948, Val F1 Micro: 0.7311
***** Best Result Updated at Epoch 4, Val Loss: 0.3876 *****
Epoch [4/10], Time: 0.37s, train Loss: 0.3612, train Acc: 0.7653,Train F1 Macro: 0.5100, Train F1 Micro: 0.7342, Val Loss: 0.3876, Val Acc: 0.7341, Val F1 Macro: 0.4946, Val F1 Micro: 0.7318
Epoch [5/10], Time: 0.45s, train Loss: 0.3404, train Acc: 0.7815,Train F1 Macro: 0.5362, Train F1 Micro: 0.7436, Val Loss: 0.4135, Val Acc: 0.7301, Val F1 Macro: 0.4887, Val F1 Micro: 0.7315
Epoch [6/10], Time: 0.39s, train Loss: 0.3125, train Acc: 0.7972,Train F1 Macro: 0.5594, Train F1 Micro: 0.7526, Val Loss: 0.3999, Val Acc: 0.7291, Val F1 Macro: 0.5013, Val F1 Micro: 0.7311
Epoch [7/10], Time: 0.39s, train Loss: 0.2853, train Acc: 0.8197,Train F1 Macro: 0.5829, Train F1 Micro: 0.7622, Val Loss: 0.3942, Val Acc: 0.7419, Val F1 Macro: 0.5096, Val F1 Micro: 0.7327
Epoch [8/10], Time: 0.37s, train Loss: 0.2442, train Acc: 0.8557,Train F1 Macro: 0.6095, Train F1 Micro: 0.7739, Val Loss: 0.4194, Val Acc: 0.7311, Val F1 Macro: 0.5180, Val F1 Micro: 0.7325
Epoch [9/10], Time: 0.40s, train Loss: 0.2060, train Acc: 0.8817,Train F1 Macro: 0.6356, Train F1 Micro: 0.7858, Val Loss: 0.4752, Val Acc: 0.7350, Val F1 Macro: 0.5193, Val F1 Micro: 0.7327
Epoch [10/10], Time: 0.42s, train Loss: 0.1734, train Acc: 0.9090,Train F1 Macro: 0.6614, Train F1 Micro: 0.7982, Val Loss: 0.4656, Val Acc: 0.7321, Val F1 Macro: 0.5252, Val F1 Micro: 0.7327
Test Loss: 0.3480, Test Acc: 0.7782, Test F1 Macro: 0.5553, Test F1 Micro: 0.7782
